"","x"
"ASV1",0.705882352941177
"ASV2",0.764705882352941
"ASV3",0.470588235294118
"ASV4",0.735294117647059
"ASV5",0.382352941176471
"ASV6",0.323529411764706
"ASV7",0.441176470588235
"ASV8",0.558823529411765
"ASV9",0.352941176470588
"ASV10",0.470588235294118
"ASV11",0.647058823529412
"ASV12",0.323529411764706
"ASV13",0.470588235294118
"ASV14",0.382352941176471
"ASV15",0.352941176470588
"ASV16",0.235294117647059
"ASV17",0.205882352941176
"ASV18",0.205882352941176
"ASV19",0.176470588235294
"ASV20",0.205882352941176
"ASV21",0.411764705882353
"ASV22",0.382352941176471
"ASV23",0.61764705882353
"ASV24",0.323529411764706
"ASV26",0.735294117647059
"ASV27",0.411764705882353
"ASV28",0.0588235294117647
"ASV29",0.441176470588235
"ASV30",0.176470588235294
"ASV31",0.294117647058824
"ASV32",0.235294117647059
"ASV33",0.147058823529412
"ASV34",0.441176470588235
"ASV35",0.382352941176471
"ASV36",0.5
"ASV37",0.176470588235294
"ASV38",0.588235294117647
"ASV39",0.5
"ASV40",0.176470588235294
"ASV41",0.411764705882353
"ASV42",0.176470588235294
"ASV43",0.0882352941176471
"ASV44",0.205882352941176
"ASV45",0.205882352941176
"ASV46",0.264705882352941
"ASV47",0.411764705882353
"ASV48",0.205882352941176
"ASV49",0.205882352941176
"ASV50",0.235294117647059
"ASV51",0.294117647058824
"ASV52",0.529411764705882
"ASV53",0.0882352941176471
"ASV54",0.147058823529412
"ASV55",0.235294117647059
"ASV56",0.352941176470588
"ASV57",0.147058823529412
"ASV58",0.147058823529412
"ASV59",0.235294117647059
"ASV60",0.0882352941176471
"ASV61",0.147058823529412
"ASV62",0.382352941176471
"ASV63",0.264705882352941
"ASV64",0.352941176470588
"ASV66",0.147058823529412
"ASV67",0.0882352941176471
"ASV68",0.176470588235294
"ASV69",0.352941176470588
"ASV70",0.235294117647059
"ASV71",0.352941176470588
"ASV72",0.294117647058824
"ASV73",0.352941176470588
"ASV74",0.0588235294117647
"ASV76",0.0882352941176471
"ASV77",0.264705882352941
"ASV78",0.294117647058824
"ASV79",0.205882352941176
"ASV80",0.294117647058824
"ASV81",0.235294117647059
"ASV82",0.0588235294117647
"ASV83",0.0882352941176471
"ASV84",0.264705882352941
"ASV85",0.117647058823529
"ASV86",0.0588235294117647
"ASV88",0.235294117647059
"ASV89",0.117647058823529
"ASV90",0.294117647058824
"ASV91",0.235294117647059
"ASV92",0.264705882352941
"ASV93",0.0882352941176471
"ASV94",0.176470588235294
"ASV95",0.147058823529412
"ASV96",0.0588235294117647
"ASV97",0.176470588235294
"ASV98",0.323529411764706
"ASV99",0.117647058823529
"ASV100",0.147058823529412
"ASV101",0.205882352941176
"ASV102",0.147058823529412
"ASV103",0.176470588235294
"ASV104",0.235294117647059
"ASV105",0.264705882352941
"ASV106",0.294117647058824
"ASV107",0.176470588235294
"ASV108",0.0882352941176471
"ASV109",0.117647058823529
"ASV110",0.147058823529412
"ASV111",0.176470588235294
"ASV112",0.117647058823529
"ASV113",0.235294117647059
"ASV114",0.0882352941176471
"ASV115",0.0882352941176471
"ASV116",0.0588235294117647
"ASV117",0.117647058823529
"ASV118",0.0882352941176471
"ASV119",0.176470588235294
"ASV120",0.205882352941176
"ASV121",0.147058823529412
"ASV122",0.382352941176471
"ASV123",0.117647058823529
"ASV124",0.147058823529412
"ASV125",0.176470588235294
"ASV126",0.147058823529412
"ASV127",0.294117647058824
"ASV128",0.147058823529412
"ASV129",0.176470588235294
"ASV130",0.147058823529412
"ASV131",0.117647058823529
"ASV132",0.0882352941176471
"ASV133",0.0882352941176471
"ASV134",0.205882352941176
"ASV135",0.117647058823529
"ASV136",0.0882352941176471
"ASV137",0.176470588235294
"ASV138",0.0882352941176471
"ASV139",0.147058823529412
"ASV140",0.176470588235294
"ASV141",0.176470588235294
"ASV142",0.147058823529412
"ASV143",0.0882352941176471
"ASV144",0.176470588235294
"ASV145",0.176470588235294
"ASV146",0.147058823529412
"ASV147",0.0882352941176471
"ASV148",0.117647058823529
"ASV149",0.117647058823529
"ASV150",0.0882352941176471
"ASV151",0.0882352941176471
"ASV152",0.235294117647059
"ASV153",0.117647058823529
"ASV154",0.0882352941176471
"ASV155",0.117647058823529
"ASV156",0.147058823529412
"ASV157",0.0588235294117647
"ASV158",0.235294117647059
"ASV159",0.176470588235294
"ASV160",0.205882352941176
"ASV161",0.117647058823529
"ASV162",0.176470588235294
"ASV163",0.176470588235294
"ASV164",0.0588235294117647
"ASV165",0.0882352941176471
"ASV166",0.0588235294117647
"ASV167",0.117647058823529
"ASV168",0.117647058823529
"ASV169",0.264705882352941
"ASV170",0.176470588235294
"ASV171",0.147058823529412
"ASV172",0.205882352941176
"ASV173",0.294117647058824
"ASV174",0.0882352941176471
"ASV175",0.176470588235294
"ASV176",0.0882352941176471
"ASV177",0.0882352941176471
"ASV178",0.0588235294117647
"ASV179",0.0882352941176471
"ASV180",0.0882352941176471
"ASV181",0.117647058823529
"ASV182",0.0588235294117647
"ASV183",0.147058823529412
"ASV184",0.205882352941176
"ASV185",0.176470588235294
"ASV186",0.117647058823529
"ASV187",0.117647058823529
"ASV188",0.0882352941176471
"ASV189",0.117647058823529
"ASV190",0.0588235294117647
"ASV191",0.205882352941176
"ASV192",0.0882352941176471
"ASV193",0.117647058823529
"ASV194",0.0588235294117647
"ASV195",0.117647058823529
"ASV196",0.205882352941176
"ASV197",0.147058823529412
"ASV198",0.176470588235294
"ASV199",0.147058823529412
"ASV200",0.0588235294117647
"ASV201",0.0588235294117647
"ASV202",0.0882352941176471
"ASV203",0.0882352941176471
"ASV204",0.0588235294117647
"ASV205",0.0588235294117647
"ASV206",0.117647058823529
"ASV207",0.117647058823529
"ASV208",0.0588235294117647
"ASV209",0.117647058823529
"ASV210",0.117647058823529
"ASV211",0.235294117647059
"ASV212",0.176470588235294
"ASV213",0.176470588235294
"ASV214",0.0882352941176471
"ASV215",0.0882352941176471
"ASV216",0.0588235294117647
"ASV217",0.0588235294117647
"ASV218",0.0882352941176471
"ASV219",0.117647058823529
"ASV220",0.0588235294117647
"ASV221",0.0588235294117647
"ASV222",0.117647058823529
"ASV223",0.117647058823529
"ASV224",0.176470588235294
"ASV225",0.0882352941176471
"ASV226",0.0882352941176471
"ASV227",0.0882352941176471
"ASV228",0.117647058823529
"ASV230",0.117647058823529
"ASV231",0.147058823529412
"ASV232",0.117647058823529
"ASV233",0.176470588235294
"ASV234",0.147058823529412
"ASV235",0.0882352941176471
"ASV236",0.0882352941176471
"ASV237",0.0882352941176471
"ASV238",0.0588235294117647
"ASV239",0.117647058823529
"ASV240",0.117647058823529
"ASV241",0.117647058823529
"ASV242",0.0588235294117647
"ASV243",0.0882352941176471
"ASV244",0.0882352941176471
"ASV245",0.176470588235294
"ASV246",0.0882352941176471
"ASV247",0.0882352941176471
"ASV248",0.0588235294117647
"ASV249",0.117647058823529
"ASV250",0.0588235294117647
"ASV251",0.235294117647059
"ASV252",0.0588235294117647
"ASV253",0.147058823529412
"ASV254",0.0588235294117647
"ASV255",0.0882352941176471
"ASV256",0.0882352941176471
"ASV257",0.0588235294117647
"ASV258",0.0882352941176471
"ASV259",0.0588235294117647
"ASV260",0.0588235294117647
"ASV261",0.117647058823529
"ASV262",0.117647058823529
"ASV264",0.117647058823529
"ASV265",0.264705882352941
"ASV266",0.0588235294117647
"ASV267",0.117647058823529
"ASV268",0.0588235294117647
"ASV269",0.0882352941176471
"ASV271",0.0588235294117647
"ASV272",0.147058823529412
"ASV273",0.117647058823529
